Image				Compared with		Change Score		Contours		Status
c23-1616744495180.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616744837702.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616745180219.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616745522905.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616745865346.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616746208024.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616746550547.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616746893069.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616747235709.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616747578512.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616747921272.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616748263872.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616748606517.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616748949116.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616749291756.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616749634401.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616749977119.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616750319597.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616750662042.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616751004843.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616751347603.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616751690245.png         c23-1616741753772.png         1417.5              2              Current Image Retained
c23-1616752033012.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616752375849.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616752718571.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616753061450.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616753404415.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616753747054.png         c23-1616751690245.png         0.0                 0              Current Image removed
c23-1616754089855.png         c23-1616751690245.png         6179.0              3              Current Image Retained
c23-1616754432617.png         c23-1616754089855.png         2083.0              1              Current Image Retained
c23-1616754775221.png         c23-1616754432617.png         1584.5              2              Current Image Retained
c23-1616755117940.png         c23-1616754775221.png         618.5               1              Current Image Retained
c23-1616755460664.png         c23-1616755117940.png         535.5               1              Current Image Retained
c23-1616755803344.png         c23-1616755460664.png         1693.0              1              Current Image Retained
c23-1616756146024.png         c23-1616755803344.png         3570.0              2              Current Image Retained
c23-1616756488628.png         c23-1616756146024.png         3131.5              1              Current Image Retained
c23-1616756831389.png         c23-1616756488628.png         7438.5              3              Current Image Retained
c23-1616757173749.png         c23-1616756831389.png         0.0                 0              Current Image removed
c23-1616757516433.png         c23-1616756831389.png         0.0                 0              Current Image removed
c23-1616757858714.png         c23-1616756831389.png         0.0                 0              Current Image removed
c23-1616758201275.png         c23-1616756831389.png         27594.5             8              Current Image Retained
c23-1616758543833.png         c23-1616758201275.png         1724.5              2              Current Image Retained
c23-1616758886475.png         c23-1616758543833.png         0.0                 0              Current Image removed
c23-1616759229080.png         c23-1616758543833.png         610.0               1              Current Image Retained
c23-1616759571684.png         c23-1616759229080.png         13156.0             4              Current Image Retained
c23-1616759914240.png         c23-1616759571684.png         0.0                 0              Current Image removed
c23-1616760256963.png         c23-1616759571684.png         0.0                 0              Current Image removed
c23-1616760599486.png         c23-1616759571684.png         0.0                 0              Current Image removed
c23-1616760941972.png         c23-1616759571684.png         13578.0             3              Current Image Retained
c23-1616761284768.png         c23-1616760941972.png         14568.5             3              Current Image Retained
c23-1616761627374.png         c23-1616761284768.png         24107.0             6              Current Image Retained
c23-1616761970012.png         c23-1616761627374.png         0.0                 0              Current Image removed
c23-1616762312457.png         c23-1616761627374.png         14043.0             4              Current Image Retained
c23-1616762655135.png         c23-1616762312457.png         0.0                 0              Current Image removed
c23-1616762997740.png         c23-1616762312457.png         23298.0             8              Current Image Retained
c23-1616763340459.png         c23-1616762997740.png         29537.5             6              Current Image Retained
c23-1616763683024.png         c23-1616763340459.png         0.0                 0              Current Image removed
c23-1616764025665.png         c23-1616763340459.png         0.0                 0              Current Image removed
c23-1616764368061.png         c23-1616763340459.png         23264.0             7              Current Image Retained
c23-1616764710745.png         c23-1616764368061.png         0.0                 0              Current Image removed
c23-1616765053431.png         c23-1616764368061.png         0.0                 0              Current Image removed
c23-1616765395910.png         c23-1616764368061.png         21480.0             5              Current Image Retained
c23-1616765738513.png         c23-1616765395910.png         17630.0             3              Current Image Retained
c23-1616766081074.png         c23-1616765738513.png         0.0                 0              Current Image removed
c23-1616766423755.png         c23-1616765738513.png         0.0                 0              Current Image removed
c23-1616766766595.png         c23-1616765738513.png         501.5               1              Current Image Retained
c23-1616767109317.png         c23-1616766766595.png         0.0                 0              Current Image removed
c23-1616767452161.png         c23-1616766766595.png         0.0                 0              Current Image removed
c23-1616767794966.png         c23-1616766766595.png         12569.0             5              Current Image Retained
c23-1616768137727.png         c23-1616767794966.png         11390.5             5              Current Image Retained
c23-1616768480608.png         c23-1616768137727.png         83940.5             8              Current Image Retained
c23-1616768823289.png         c23-1616768480608.png         52590.0             10             Current Image Retained
